case_id,model,strategy_id,rho,max_attempts,single_attempt_success_probability,completion_probability,completion_slo_target,completion_slo_met,expected_attempts,provider_cost_per_assigned_session_usd,provider_cost_per_successful_session_usd,source_type
retry-mixture-cap_200k_uncached-rho-0,luna,cap_200k_uncached,0.0,3,0.7566914346480351,0.9672265155858337,0.95,True,1.3254619949008621,0.7889149793649931,0.8156465591590609,simulated
retry-mixture-cap_200k_uncached-rho-0.1,luna,cap_200k_uncached,0.1,3,0.7566914346480351,0.9461730074920538,0.95,False,1.3415775084811687,0.7985069330479916,0.8439333258560514,simulated
retry-mixture-cap_200k_uncached-rho-0.25,luna,cap_200k_uncached,0.25,3,0.7566914346480351,0.914592745351384,0.95,False,1.3657507788516292,0.8128948635724896,0.8888052826836907,simulated
retry-mixture-cap_200k_uncached-rho-0.5,luna,cap_200k_uncached,0.5,3,0.7566914346480351,0.8619589751169344,0.95,False,1.406039562802396,0.836874747779986,0.9708985832724285,simulated
retry-mixture-cap_200k_uncached-rho-1,luna,cap_200k_uncached,1.0,3,0.7566914346480351,0.7566914346480351,0.95,False,1.4866171307039298,0.8848345161949789,1.169346546927081,simulated
retry-mixture-grow_to_800k-rho-0,luna,grow_to_800k,0.0,3,0.6543513957307061,0.9214844732483582,0.95,False,1.499785645530507,1.5303812726993293,1.660778143449913,simulated
retry-mixture-grow_to_800k-rho-0.1,luna,grow_to_800k,0.1,3,0.6543513957307061,0.894771165496593,0.95,False,1.5189368018313152,1.5499231125886739,1.7322005584841071,simulated
retry-mixture-grow_to_800k-rho-0.25,luna,grow_to_800k,0.25,3,0.6543513957307061,0.8547012038689452,0.95,False,1.5476635362825273,1.5792358724226907,1.8477052158976968,simulated
retry-mixture-grow_to_800k-rho-0.5,luna,grow_to_800k,0.5,3,0.6543513957307061,0.7879179344895322,0.95,False,1.5955414270345474,1.628090472146052,2.0663198549996733,simulated
retry-mixture-grow_to_800k-rho-1,luna,grow_to_800k,1.0,3,0.6543513957307061,0.6543513957307061,0.95,False,1.6912972085385878,1.725799671592775,2.6374203262233373,simulated
