contrast_id,scenario_id,role,model,call_index,logical_step,call_kind,input_uncached_tokens,cache_read_tokens,cache_write_tokens,full_input_tokens,output_tokens,long_context_threshold_tokens,pricing_tier,input_rate_per_million,cache_read_rate_per_million,cache_write_rate_per_million,output_rate_per_million,input_uncached_cost_usd,cache_read_cost_usd,cache_write_cost_usd,output_cost_usd,provider_cost_usd,ai_credits,compaction_event,discarded_context_tokens,note
stable-system-1-call,stable-system-1-call-luna-baseline,baseline,luna,1,1,model_roundtrip,0,0,50000,50000,500,200000,short,0.2,0.02,0.25,1.2,0.0,0.0,0.0125,0.0006,0.0131,1.31,False,0,first stable prefix is written to cache
stable-system-1-call,stable-system-1-call-luna-comparison,comparison,luna,1,1,model_roundtrip,0,0,51000,51000,500,200000,short,0.2,0.02,0.25,1.2,0.0,0.0,0.01275,0.0006,0.01335,1.335,False,0,first stable prefix is written to cache
stable-system-1-call,stable-system-1-call-terra-baseline,baseline,terra,1,1,model_roundtrip,0,0,50000,50000,500,272000,short,2.0,0.2,2.5,12.0,0.0,0.0,0.125,0.006,0.131,13.1,False,0,first stable prefix is written to cache
stable-system-1-call,stable-system-1-call-terra-comparison,comparison,terra,1,1,model_roundtrip,0,0,51000,51000,500,272000,short,2.0,0.2,2.5,12.0,0.0,0.0,0.1275,0.006,0.1335,13.35,False,0,first stable prefix is written to cache
stable-system-1-call,stable-system-1-call-sol-baseline,baseline,sol,1,1,model_roundtrip,0,0,50000,50000,500,272000,short,4.0,0.4,5.0,20.0,0.0,0.0,0.25,0.01,0.26,26.0,False,0,first stable prefix is written to cache
stable-system-1-call,stable-system-1-call-sol-comparison,comparison,sol,1,1,model_roundtrip,0,0,51000,51000,500,272000,short,4.0,0.4,5.0,20.0,0.0,0.0,0.255,0.01,0.265,26.5,False,0,first stable prefix is written to cache
stable-system-10-calls,stable-system-10-calls-luna-baseline,baseline,luna,1,1,model_roundtrip,0,0,50000,50000,500,200000,short,0.2,0.02,0.25,1.2,0.0,0.0,0.0125,0.0006,0.0131,1.31,False,0,first stable prefix is written to cache
stable-system-10-calls,stable-system-10-calls-luna-baseline,baseline,luna,2,2,model_roundtrip,0,50000,0,50000,500,200000,short,0.2,0.02,0.25,1.2,0.0,0.001,0.0,0.0006,0.0016,0.16,False,0,stable prefix is read from cache
stable-system-10-calls,stable-system-10-calls-luna-baseline,baseline,luna,3,3,model_roundtrip,0,50000,0,50000,500,200000,short,0.2,0.02,0.25,1.2,0.0,0.001,0.0,0.0006,0.0016,0.16,False,0,stable prefix is read from cache
stable-system-10-calls,stable-system-10-calls-luna-baseline,baseline,luna,4,4,model_roundtrip,0,50000,0,50000,500,200000,short,0.2,0.02,0.25,1.2,0.0,0.001,0.0,0.0006,0.0016,0.16,False,0,stable prefix is read from cache
